benchmark,harness,outcome,from_action,to_action,transition_count,transition_total,transition_fraction
GPQA,ZeroClaw,success,Solution Execution,Result Auditing,14,1877,0.00745871
GPQA,ZeroClaw,success,Solution Execution,Solution Execution,1021,1877,0.54395312
GPQA,ZeroClaw,success,__START__,Plan Formation,15,1877,0.00799148
GPQA,ZeroClaw,success,__START__,Problem Framing,5,1877,0.00266383
GPQA,ZeroClaw,success,__START__,Result Auditing,37,1877,0.01971231
GPQA,ZeroClaw,success,__START__,Solution Execution,114,1877,0.06073522
HLE,DirectLLM,failure,Answer Delivery,__END__,392,6671,0.05876180
HLE,DirectLLM,failure,Plan Formation,Answer Delivery,37,6671,0.00554639
HLE,DirectLLM,failure,Plan Formation,Plan Formation,28,6671,0.00419727
HLE,DirectLLM,failure,Plan Formation,Problem Framing,3,6671,0.00044971
HLE,DirectLLM,failure,Plan Formation,Result Auditing,4,6671,0.00059961
HLE,DirectLLM,failure,Plan Formation,Solution Execution,155,6671,0.02323490
HLE,DirectLLM,failure,Problem Framing,Answer Delivery,31,6671,0.00464698
HLE,DirectLLM,failure,Problem Framing,Plan Formation,15,6671,0.00224854
HLE,DirectLLM,failure,Problem Framing,Problem Framing,5,6671,0.00074951
HLE,DirectLLM,failure,Problem Framing,Result Auditing,3,6671,0.00044971
HLE,DirectLLM,failure,Problem Framing,Solution Execution,112,6671,0.01678909
HLE,DirectLLM,failure,Result Auditing,Answer Delivery,13,6671,0.00194873
HLE,DirectLLM,failure,Result Auditing,Plan Formation,5,6671,0.00074951
HLE,DirectLLM,failure,Result Auditing,Problem Framing,8,6671,0.00119922
HLE,DirectLLM,failure,Result Auditing,Result Auditing,7,6671,0.00104932
HLE,DirectLLM,failure,Result Auditing,Solution Execution,64,6671,0.00959376
HLE,DirectLLM,failure,Solution Execution,Answer Delivery,311,6671,0.04661970
HLE,DirectLLM,failure,Solution Execution,Plan Formation,120,6671,0.01798831
HLE,DirectLLM,failure,Solution Execution,Problem Framing,86,6671,0.01289162
HLE,DirectLLM,failure,Solution Execution,Result Auditing,73,6671,0.01094289
HLE,DirectLLM,failure,Solution Execution,Solution Execution,4805,6671,0.72028182
HLE,DirectLLM,failure,Solution Execution,__END__,1,6671,0.00014990
HLE,DirectLLM,failure,__START__,Plan Formation,59,6671,0.00884425
HLE,DirectLLM,failure,__START__,Problem Framing,64,6671,0.00959376
HLE,DirectLLM,failure,__START__,Result Auditing,10,6671,0.00149903
HLE,DirectLLM,failure,__START__,Solution Execution,260,6671,0.03897467
HLE,DirectLLM,success,Answer Delivery,__END__,165,1491,0.11066398
HLE,DirectLLM,success,Plan Formation,Answer Delivery,11,1491,0.00737760
HLE,DirectLLM,success,Plan Formation,Plan Formation,3,1491,0.00201207
HLE,DirectLLM,success,Plan Formation,Problem Framing,2,1491,0.00134138
HLE,DirectLLM,success,Plan Formation,Result Auditing,1,1491,0.00067069
HLE,DirectLLM,success,Plan Formation,Solution Execution,72,1491,0.04828974
HLE,DirectLLM,success,Problem Framing,Answer Delivery,12,1491,0.00804829
HLE,DirectLLM,success,Problem Framing,Plan Formation,5,1491,0.00335345
HLE,DirectLLM,success,Problem Framing,Problem Framing,2,1491,0.00134138
HLE,DirectLLM,success,Problem Framing,Result Auditing,1,1491,0.00067069
HLE,DirectLLM,success,Problem Framing,Solution Execution,35,1491,0.02347418
HLE,DirectLLM,success,Result Auditing,Answer Delivery,3,1491,0.00201207
HLE,DirectLLM,success,Result Auditing,Plan Formation,3,1491,0.00201207
HLE,DirectLLM,success,Result Auditing,Result Auditing,8,1491,0.00536553
HLE,DirectLLM,success,Result Auditing,Solution Execution,21,1491,0.01408451
HLE,DirectLLM,success,Solution Execution,Answer Delivery,139,1491,0.09322602
HLE,DirectLLM,success,Solution Execution,Plan Formation,54,1491,0.03621730
HLE,DirectLLM,success,Solution Execution,Problem Framing,27,1491,0.01810865
HLE,DirectLLM,success,Solution Execution,Result Auditing,22,1491,0.01475520
HLE,DirectLLM,success,Solution Execution,Solution Execution,740,1491,0.49631120
HLE,DirectLLM,success,__START__,Plan Formation,24,1491,0.01609658
HLE,DirectLLM,success,__START__,Problem Framing,24,1491,0.01609658
HLE,DirectLLM,success,__START__,Result Auditing,3,1491,0.00201207
HLE,DirectLLM,success,__START__,Solution Execution,114,1491,0.07645875
HLE,OpenClaw,failure,Answer Delivery,Plan Formation,1,5046,0.00019818
HLE,OpenClaw,failure,Answer Delivery,Solution Execution,1,5046,0.00019818
HLE,OpenClaw,failure,Answer Delivery,Tool Grounding,5,5046,0.00099088
HLE,OpenClaw,failure,Answer Delivery,__END__,362,5046,0.07173999
HLE,OpenClaw,failure,Plan Formation,Answer Delivery,17,5046,0.00336901
HLE,OpenClaw,failure,Plan Formation,Plan Formation,15,5046,0.00297265
HLE,OpenClaw,failure,Plan Formation,Problem Framing,4,5046,0.00079271
HLE,OpenClaw,failure,Plan Formation,Result Auditing,3,5046,0.00059453
HLE,OpenClaw,failure,Plan Formation,Solution Execution,138,5046,0.02734839
HLE,OpenClaw,failure,Plan Formation,__END__,3,5046,0.00059453
HLE,OpenClaw,failure,Problem Framing,Answer Delivery,29,5046,0.00574713
HLE,OpenClaw,failure,Problem Framing,Plan Formation,12,5046,0.00237812
HLE,OpenClaw,failure,Problem Framing,Problem Framing,3,5046,0.00059453
HLE,OpenClaw,failure,Problem Framing,Result Auditing,1,5046,0.00019818
HLE,OpenClaw,failure,Problem Framing,Solution Execution,62,5046,0.01228696
HLE,OpenClaw,failure,Result Auditing,Answer Delivery,16,5046,0.00317083
HLE,OpenClaw,failure,Result Auditing,Plan Formation,5,5046,0.00099088
HLE,OpenClaw,failure,Result Auditing,Problem Framing,2,5046,0.00039635
HLE,OpenClaw,failure,Result Auditing,Result Auditing,14,5046,0.00277447
HLE,OpenClaw,failure,Result Auditing,Solution Execution,63,5046,0.01248514
HLE,OpenClaw,failure,Solution Execution,Answer Delivery,304,5046,0.06024574
HLE,OpenClaw,failure,Solution Execution,Plan Formation,110,5046,0.02179945
HLE,OpenClaw,failure,Solution Execution,Problem Framing,71,5046,0.01407055
HLE,OpenClaw,failure,Solution Execution,Result Auditing,72,5046,0.01426873
HLE,OpenClaw,failure,Solution Execution,Solution Execution,1480,5046,0.29330163
HLE,OpenClaw,failure,Solution Execution,__END__,1,5046,0.00019818
HLE,OpenClaw,failure,Tool Grounding,Answer Delivery,1,5046,0.00019818
HLE,OpenClaw,failure,Tool Grounding,Plan Formation,12,5046,0.00237812
HLE,OpenClaw,failure,Tool Grounding,Problem Framing,11,5046,0.00217994
HLE,OpenClaw,failure,Tool Grounding,Result Auditing,5,5046,0.00099088
HLE,OpenClaw,failure,Tool Grounding,Solution Execution,147,5046,0.02913199
HLE,OpenClaw,failure,Tool Grounding,Tool Grounding,1592,5046,0.31549742
HLE,OpenClaw,failure,Tool Grounding,__END__,59,5046,0.01169243
HLE,OpenClaw,failure,__START__,Answer Delivery,2,5046,0.00039635
HLE,OpenClaw,failure,__START__,Plan Formation,25,5046,0.00495442
HLE,OpenClaw,failure,__START__,Problem Framing,16,5046,0.00317083
HLE,OpenClaw,failure,__START__,Result Auditing,5,5046,0.00099088
HLE,OpenClaw,failure,__START__,Solution Execution,147,5046,0.02913199
HLE,OpenClaw,failure,__START__,Tool Grounding,230,5046,0.04558066
HLE,OpenClaw,success,Answer Delivery,__END__,143,1512,0.09457672
HLE,OpenClaw,success,Plan Formation,Answer Delivery,5,1512,0.00330688
HLE,OpenClaw,success,Plan Formation,Plan Formation,2,1512,0.00132275
HLE,OpenClaw,success,Plan Formation,Result Auditing,1,1512,0.00066138
HLE,OpenClaw,success,Plan Formation,Solution Execution,38,1512,0.02513228
HLE,OpenClaw,success,Problem Framing,Answer Delivery,7,1512,0.00462963
HLE,OpenClaw,success,Problem Framing,Plan Formation,1,1512,0.00066138
HLE,OpenClaw,success,Problem Framing,Problem Framing,1,1512,0.00066138
HLE,OpenClaw,success,Problem Framing,Solution Execution,26,1512,0.01719577
HLE,OpenClaw,success,Result Auditing,Answer Delivery,1,1512,0.00066138
HLE,OpenClaw,success,Result Auditing,Plan Formation,2,1512,0.00132275
HLE,OpenClaw,success,Result Auditing,Result Auditing,5,1512,0.00330688
HLE,OpenClaw,success,Result Auditing,Solution Execution,21,1512,0.01388889
HLE,OpenClaw,success,Solution Execution,Answer Delivery,129,1512,0.08531746
HLE,OpenClaw,success,Solution Execution,Plan Formation,24,1512,0.01587302
HLE,OpenClaw,success,Solution Execution,Problem Framing,22,1512,0.01455026
HLE,OpenClaw,success,Solution Execution,Result Auditing,18,1512,0.01190476
HLE,OpenClaw,success,Solution Execution,Solution Execution,588,1512,0.38888889
HLE,OpenClaw,success,Tool Grounding,Answer Delivery,1,1512,0.00066138
HLE,OpenClaw,success,Tool Grounding,Plan Formation,4,1512,0.00264550
HLE,OpenClaw,success,Tool Grounding,Problem Framing,7,1512,0.00462963
HLE,OpenClaw,success,Tool Grounding,Result Auditing,4,1512,0.00264550
HLE,OpenClaw,success,Tool Grounding,Solution Execution,49,1512,0.03240741
HLE,OpenClaw,success,Tool Grounding,Tool Grounding,270,1512,0.17857143
HLE,OpenClaw,success,__START__,Plan Formation,13,1512,0.00859788
HLE,OpenClaw,success,__START__,Problem Framing,5,1512,0.00330688
HLE,OpenClaw,success,__START__,Result Auditing,1,1512,0.00066138
HLE,OpenClaw,success,__START__,Solution Execution,59,1512,0.03902116
HLE,OpenClaw,success,__START__,Tool Grounding,65,1512,0.04298942
HLE,OpenCode,failure,Answer Delivery,Answer Delivery,17,66879,0.00025419
HLE,OpenCode,failure,Answer Delivery,Plan Formation,53,66879,0.00079248
HLE,OpenCode,failure,Answer Delivery,Problem Framing,26,66879,0.00038876
HLE,OpenCode,failure,Answer Delivery,Result Auditing,17,66879,0.00025419
HLE,OpenCode,failure,Answer Delivery,Solution Execution,310,66879,0.00463524
HLE,OpenCode,failure,Answer Delivery,__END__,375,66879,0.00560714
HLE,OpenCode,failure,Plan Formation,Answer Delivery,61,66879,0.00091209
HLE,OpenCode,failure,Plan Formation,Plan Formation,7959,66879,0.11900597
HLE,OpenCode,failure,Plan Formation,Problem Framing,13,66879,0.00019438
HLE,OpenCode,failure,Plan Formation,Result Auditing,818,66879,0.01223104
HLE,OpenCode,failure,Plan Formation,Solution Execution,1674,66879,0.02503028
HLE,OpenCode,failure,Plan Formation,__END__,7,66879,0.00010467
HLE,OpenCode,failure,Problem Framing,Answer Delivery,28,66879,0.00041867
HLE,OpenCode,failure,Problem Framing,Plan Formation,34,66879,0.00050838
HLE,OpenCode,failure,Problem Framing,Problem Framing,41,66879,0.00061305
HLE,OpenCode,failure,Problem Framing,Result Auditing,185,66879,0.00276619
HLE,OpenCode,failure,Problem Framing,Solution Execution,342,66879,0.00511371
HLE,OpenCode,failure,Result Auditing,Answer Delivery,23,66879,0.00034390
HLE,OpenCode,failure,Result Auditing,Plan Formation,1059,66879,0.01583457
HLE,OpenCode,failure,Result Auditing,Problem Framing,76,66879,0.00113638
HLE,OpenCode,failure,Result Auditing,Result Auditing,5890,66879,0.08806950
HLE,OpenCode,failure,Result Auditing,Solution Execution,9520,66879,0.14234663
HLE,OpenCode,failure,Result Auditing,Tool Grounding,1,66879,0.00001495
HLE,OpenCode,failure,Result Auditing,__END__,11,66879,0.00016448
HLE,OpenCode,failure,Solution Execution,Answer Delivery,659,66879,0.00985362
HLE,OpenCode,failure,Solution Execution,Plan Formation,1396,66879,0.02087352
HLE,OpenCode,failure,Solution Execution,Problem Framing,439,66879,0.00656409
HLE,OpenCode,failure,Solution Execution,Result Auditing,9640,66879,0.14414091
HLE,OpenCode,failure,Solution Execution,Solution Execution,20585,66879,0.30779467
HLE,OpenCode,failure,Solution Execution,Tool Grounding,7,66879,0.00010467
HLE,OpenCode,failure,Solution Execution,__END__,56,66879,0.00083733
HLE,OpenCode,failure,Tool Grounding,Answer Delivery,10,66879,0.00014952
HLE,OpenCode,failure,Tool Grounding,Plan Formation,13,66879,0.00019438
HLE,OpenCode,failure,Tool Grounding,Problem Framing,20,66879,0.00029905
HLE,OpenCode,failure,Tool Grounding,Result Auditing,27,66879,0.00040371
HLE,OpenCode,failure,Tool Grounding,Solution Execution,209,66879,0.00312505
HLE,OpenCode,failure,Tool Grounding,Tool Grounding,4829,66879,0.07220503
HLE,OpenCode,failure,__START__,Plan Formation,18,66879,0.00026914
HLE,OpenCode,failure,__START__,Problem Framing,15,66879,0.00022429
HLE,OpenCode,failure,__START__,Result Auditing,3,66879,0.00004486
HLE,OpenCode,failure,__START__,Solution Execution,142,66879,0.00212324
HLE,OpenCode,failure,__START__,Tool Grounding,271,66879,0.00405209
HLE,OpenCode,success,Answer Delivery,Answer Delivery,4,2765,0.00144665
HLE,OpenCode,success,Answer Delivery,Plan Formation,18,2765,0.00650995
HLE,OpenCode,success,Answer Delivery,Problem Framing,9,2765,0.00325497
HLE,OpenCode,success,Answer Delivery,Result Auditing,6,2765,0.00216998
HLE,OpenCode,success,Answer Delivery,Solution Execution,105,2765,0.03797468
HLE,OpenCode,success,Answer Delivery,__END__,142,2765,0.05135624
HLE,OpenCode,success,Plan Formation,Answer Delivery,6,2765,0.00216998
HLE,OpenCode,success,Plan Formation,Plan Formation,16,2765,0.00578662
HLE,OpenCode,success,Plan Formation,Solution Execution,140,2765,0.05063291
HLE,OpenCode,success,Problem Framing,Answer Delivery,4,2765,0.00144665
HLE,OpenCode,success,Problem Framing,Plan Formation,2,2765,0.00072333
HLE,OpenCode,success,Problem Framing,Problem Framing,2,2765,0.00072333
HLE,OpenCode,success,Problem Framing,Solution Execution,26,2765,0.00940325
HLE,OpenCode,success,Result Auditing,Answer Delivery,10,2765,0.00361664
HLE,OpenCode,success,Result Auditing,Solution Execution,34,2765,0.01229656
HLE,OpenCode,success,Solution Execution,Answer Delivery,256,2765,0.09258590
HLE,OpenCode,success,Solution Execution,Plan Formation,108,2765,0.03905967
HLE,OpenCode,success,Solution Execution,Problem Framing,14,2765,0.00506329
HLE,OpenCode,success,Solution Execution,Result Auditing,32,2765,0.01157324
HLE,OpenCode,success,Solution Execution,Solution Execution,1134,2765,0.41012658
HLE,OpenCode,success,Tool Grounding,Answer Delivery,4,2765,0.00144665
HLE,OpenCode,success,Tool Grounding,Plan Formation,4,2765,0.00144665
HLE,OpenCode,success,Tool Grounding,Problem Framing,4,2765,0.00144665
HLE,OpenCode,success,Tool Grounding,Result Auditing,4,2765,0.00144665
HLE,OpenCode,success,Tool Grounding,Solution Execution,60,2765,0.02169982
HLE,OpenCode,success,Tool Grounding,Tool Grounding,479,2765,0.17323689
HLE,OpenCode,success,__START__,Plan Formation,14,2765,0.00506329
HLE,OpenCode,success,__START__,Problem Framing,5,2765,0.00180832
HLE,OpenCode,success,__START__,Result Auditing,2,2765,0.00072333
HLE,OpenCode,success,__START__,Solution Execution,45,2765,0.01627486
HLE,OpenCode,success,__START__,Tool Grounding,76,2765,0.02748644
HLE,ZeroClaw,failure,Answer Delivery,__END__,383,9013,0.04249418
HLE,ZeroClaw,failure,Plan Formation,Answer Delivery,20,9013,0.00221902
HLE,ZeroClaw,failure,Plan Formation,Plan Formation,37,9013,0.00410518
HLE,ZeroClaw,failure,Plan Formation,Problem Framing,5,9013,0.00055475
HLE,ZeroClaw,failure,Plan Formation,Result Auditing,11,9013,0.00122046
HLE,ZeroClaw,failure,Plan Formation,Solution Execution,180,9013,0.01997115
HLE,ZeroClaw,failure,Problem Framing,Answer Delivery,23,9013,0.00255187
HLE,ZeroClaw,failure,Problem Framing,Plan Formation,7,9013,0.00077666
HLE,ZeroClaw,failure,Problem Framing,Result Auditing,2,9013,0.00022190
HLE,ZeroClaw,failure,Problem Framing,Solution Execution,64,9013,0.00710085
HLE,ZeroClaw,failure,Result Auditing,Answer Delivery,14,9013,0.00155331
HLE,ZeroClaw,failure,Result Auditing,Plan Formation,19,9013,0.00210807
HLE,ZeroClaw,failure,Result Auditing,Problem Framing,14,9013,0.00155331
HLE,ZeroClaw,failure,Result Auditing,Result Auditing,1134,9013,0.12581826
HLE,ZeroClaw,failure,Result Auditing,Solution Execution,342,9013,0.03794519
HLE,ZeroClaw,failure,Result Auditing,__END__,9,9013,0.00099856
HLE,ZeroClaw,failure,Solution Execution,Answer Delivery,326,9013,0.03616998
HLE,ZeroClaw,failure,Solution Execution,Plan Formation,168,9013,0.01863974
HLE,ZeroClaw,failure,Solution Execution,Problem Framing,63,9013,0.00698990
HLE,ZeroClaw,failure,Solution Execution,Result Auditing,155,9013,0.01719738
HLE,ZeroClaw,failure,Solution Execution,Solution Execution,5591,9013,0.62032620
HLE,ZeroClaw,failure,Solution Execution,__END__,27,9013,0.00299567
HLE,ZeroClaw,failure,__START__,Plan Formation,22,9013,0.00244092
HLE,ZeroClaw,failure,__START__,Problem Framing,14,9013,0.00155331
HLE,ZeroClaw,failure,__START__,Result Auditing,230,9013,0.02551870
HLE,ZeroClaw,failure,__START__,Solution Execution,153,9013,0.01697548
HLE,ZeroClaw,success,Answer Delivery,__END__,172,2002,0.08591409
HLE,ZeroClaw,success,Plan Formation,Answer Delivery,12,2002,0.00599401
HLE,ZeroClaw,success,Plan Formation,Plan Formation,16,2002,0.00799201
HLE,ZeroClaw,success,Plan Formation,Problem Framing,1,2002,0.00049950
HLE,ZeroClaw,success,Plan Formation,Result Auditing,1,2002,0.00049950
HLE,ZeroClaw,success,Plan Formation,Solution Execution,53,2002,0.02647353
HLE,ZeroClaw,success,Problem Framing,Answer Delivery,9,2002,0.00449550
HLE,ZeroClaw,success,Problem Framing,Plan Formation,5,2002,0.00249750
HLE,ZeroClaw,success,Problem Framing,Result Auditing,1,2002,0.00049950
HLE,ZeroClaw,success,Problem Framing,Solution Execution,25,2002,0.01248751
HLE,ZeroClaw,success,Result Auditing,Answer Delivery,5,2002,0.00249750
HLE,ZeroClaw,success,Result Auditing,Plan Formation,7,2002,0.00349650
HLE,ZeroClaw,success,Result Auditing,Problem Framing,8,2002,0.00399600
HLE,ZeroClaw,success,Result Auditing,Result Auditing,304,2002,0.15184815
HLE,ZeroClaw,success,Result Auditing,Solution Execution,106,2002,0.05294705
HLE,ZeroClaw,success,Solution Execution,Answer Delivery,146,2002,0.07292707
HLE,ZeroClaw,success,Solution Execution,Plan Formation,46,2002,0.02297702
HLE,ZeroClaw,success,Solution Execution,Problem Framing,26,2002,0.01298701
HLE,ZeroClaw,success,Solution Execution,Result Auditing,39,2002,0.01948052
HLE,ZeroClaw,success,Solution Execution,Solution Execution,848,2002,0.42357642
HLE,ZeroClaw,success,__START__,Plan Formation,9,2002,0.00449550
HLE,ZeroClaw,success,__START__,Problem Framing,5,2002,0.00249750
HLE,ZeroClaw,success,__START__,Result Auditing,85,2002,0.04245754
HLE,ZeroClaw,success,__START__,Solution Execution,73,2002,0.03646354
