harness,correct,type,motif,ngram,n,total_trajectories,rate_per_trajectory,correct_vs_wrong_delta,context,action,fraction,total_verify_events
openclaw,False,verify_context,,,1,,,,pre_verify,recover,0.0238,42
openclaw,False,verify_context,,,1,,,,pre_verify,tool_use,0.0238,42
openclaw,False,verify_context,,,2,,,,pre_verify,verify,0.0476,42
openclaw,False,verify_context,,,31,,,,post_verify,__END__,0.7381,42
openclaw,False,verify_context,,,1,,,,post_verify,reason,0.0238,42
openclaw,False,verify_context,,,7,,,,post_verify,recover,0.1667,42
openclaw,False,verify_context,,,1,,,,post_verify,tool_use,0.0238,42
openclaw,False,verify_context,,,2,,,,post_verify,verify,0.0476,42
openclaw,False,verify_context,,,31,,,,terminal_verify,__END__,0.7381,42
openclaw,False,verify_context,,,7,,,,verify_to_recover,recover,0.1667,42
openclaw,False,verify_context,,,1,,,,verify_to_tool_use,tool_use,0.0238,42
openclaw,False,verify_context,,,0,,,,verify_to_answer,answer,0.0,42
openclaw,True,verify_context,,,69,,,,pre_verify,answer,0.7667,90
openclaw,True,verify_context,,,1,,,,pre_verify,reason,0.0111,90
openclaw,True,verify_context,,,2,,,,pre_verify,recover,0.0222,90
openclaw,True,verify_context,,,7,,,,pre_verify,tool_use,0.0778,90
openclaw,True,verify_context,,,11,,,,pre_verify,verify,0.1222,90
openclaw,True,verify_context,,,32,,,,post_verify,__END__,0.3556,90
openclaw,True,verify_context,,,17,,,,post_verify,answer,0.1889,90
openclaw,True,verify_context,,,1,,,,post_verify,plan,0.0111,90
openclaw,True,verify_context,,,5,,,,post_verify,reason,0.0556,90
openclaw,True,verify_context,,,20,,,,post_verify,recover,0.2222,90
openclaw,True,verify_context,,,4,,,,post_verify,tool_use,0.0444,90
openclaw,True,verify_context,,,11,,,,post_verify,verify,0.1222,90
openclaw,True,verify_context,,,32,,,,terminal_verify,__END__,0.3556,90
openclaw,True,verify_context,,,20,,,,verify_to_recover,recover,0.2222,90
openclaw,True,verify_context,,,4,,,,verify_to_tool_use,tool_use,0.0444,90
openclaw,True,verify_context,,,17,,,,verify_to_answer,answer,0.1889,90
opencode,False,verify_context,,,2,,,,pre_verify,answer,0.0488,41
opencode,False,verify_context,,,2,,,,pre_verify,plan,0.0488,41
opencode,False,verify_context,,,24,,,,pre_verify,reason,0.5854,41
opencode,False,verify_context,,,5,,,,pre_verify,tool_use,0.122,41
opencode,False,verify_context,,,8,,,,pre_verify,verify,0.1951,41
opencode,False,verify_context,,,23,,,,post_verify,__END__,0.561,41
opencode,False,verify_context,,,1,,,,post_verify,plan,0.0244,41
opencode,False,verify_context,,,9,,,,post_verify,tool_use,0.2195,41
opencode,False,verify_context,,,8,,,,post_verify,verify,0.1951,41
opencode,False,verify_context,,,23,,,,terminal_verify,__END__,0.561,41
opencode,False,verify_context,,,0,,,,verify_to_recover,recover,0.0,41
opencode,False,verify_context,,,9,,,,verify_to_tool_use,tool_use,0.2195,41
opencode,False,verify_context,,,0,,,,verify_to_answer,answer,0.0,41
opencode,True,verify_context,,,7,,,,pre_verify,answer,0.0412,170
opencode,True,verify_context,,,4,,,,pre_verify,plan,0.0235,170
opencode,True,verify_context,,,71,,,,pre_verify,reason,0.4176,170
opencode,True,verify_context,,,40,,,,pre_verify,tool_use,0.2353,170
opencode,True,verify_context,,,48,,,,pre_verify,verify,0.2824,170
opencode,True,verify_context,,,58,,,,post_verify,__END__,0.3412,170
opencode,True,verify_context,,,2,,,,post_verify,answer,0.0118,170
opencode,True,verify_context,,,1,,,,post_verify,plan,0.0059,170
opencode,True,verify_context,,,2,,,,post_verify,reason,0.0118,170
opencode,True,verify_context,,,59,,,,post_verify,tool_use,0.3471,170
opencode,True,verify_context,,,48,,,,post_verify,verify,0.2824,170
opencode,True,verify_context,,,58,,,,terminal_verify,__END__,0.3412,170
opencode,True,verify_context,,,0,,,,verify_to_recover,recover,0.0,170
opencode,True,verify_context,,,59,,,,verify_to_tool_use,tool_use,0.3471,170
opencode,True,verify_context,,,2,,,,verify_to_answer,answer,0.0118,170
zeroclaw,False,verify_context,,,1,,,,pre_verify,answer,0.0294,34
zeroclaw,False,verify_context,,,1,,,,pre_verify,plan,0.0294,34
zeroclaw,False,verify_context,,,30,,,,pre_verify,reason,0.8824,34
zeroclaw,False,verify_context,,,2,,,,pre_verify,verify,0.0588,34
zeroclaw,False,verify_context,,,14,,,,post_verify,__END__,0.4118,34
zeroclaw,False,verify_context,,,18,,,,post_verify,reason,0.5294,34
zeroclaw,False,verify_context,,,2,,,,post_verify,verify,0.0588,34
zeroclaw,False,verify_context,,,14,,,,terminal_verify,__END__,0.4118,34
zeroclaw,False,verify_context,,,0,,,,verify_to_recover,recover,0.0,34
zeroclaw,False,verify_context,,,0,,,,verify_to_tool_use,tool_use,0.0,34
zeroclaw,False,verify_context,,,0,,,,verify_to_answer,answer,0.0,34
zeroclaw,True,verify_context,,,9,,,,pre_verify,answer,0.0677,133
zeroclaw,True,verify_context,,,4,,,,pre_verify,plan,0.0301,133
zeroclaw,True,verify_context,,,113,,,,pre_verify,reason,0.8496,133
zeroclaw,True,verify_context,,,7,,,,pre_verify,verify,0.0526,133
zeroclaw,True,verify_context,,,47,,,,post_verify,__END__,0.3534,133
zeroclaw,True,verify_context,,,4,,,,post_verify,answer,0.0301,133
zeroclaw,True,verify_context,,,10,,,,post_verify,plan,0.0752,133
zeroclaw,True,verify_context,,,65,,,,post_verify,reason,0.4887,133
zeroclaw,True,verify_context,,,7,,,,post_verify,verify,0.0526,133
zeroclaw,True,verify_context,,,47,,,,terminal_verify,__END__,0.3534,133
zeroclaw,True,verify_context,,,0,,,,verify_to_recover,recover,0.0,133
zeroclaw,True,verify_context,,,0,,,,verify_to_tool_use,tool_use,0.0,133
zeroclaw,True,verify_context,,,4,,,,verify_to_answer,answer,0.0301,133
