task_id,harness,benchmark,n_segments,arm_sequence,dominant_mode,dominant_rate,arm_entropy,rate_SE,rate_PD,rate_IC,rate_UN,rate_RR,rate_reason
hle_1188,directllm,HLE,27,reason|reason|reason|RR|reason|UN|UN|UN|RR|UN|UN|RR|reason|RR|RR|reason|UN|UN|RR|PD|RR|RR|UN|reason|reason|reason|PD,reason,0.3333,1.2798,0.0,0.0741,0.0,0.2963,0.2963,0.3333
hle_119,directllm,HLE,5,PD|reason|UN|UN|UN,UN,0.6,0.9503,0.0,0.2,0.0,0.6,0.0,0.2
hle_1192,directllm,HLE,29,reason|reason|reason|reason|reason|RR|IC|reason|UN|RR|RR|IC|RR|reason|reason|RR|reason|RR|IC|RR|RR|RR|RR|RR|RR|reason|PD|PD|reason,RR,0.4138,1.2681,0.0,0.069,0.1034,0.0345,0.4138,0.3793
hle_120,directllm,HLE,28,reason|RR|reason|reason|reason|reason|reason|UN|UN|reason|PD|RR|RR|PD|RR|IC|UN|reason|RR|RR|reason|RR|RR|RR|RR|RR|PD|RR,RR,0.4286,1.3256,0.0,0.1071,0.0357,0.1071,0.4286,0.3214
hle_1207,directllm,HLE,26,reason|reason|reason|PD|RR|PD|RR|RR|RR|PD|reason|RR|reason|reason|PD|PD|RR|reason|UN|UN|reason|PD|PD|reason|UN|reason,reason,0.3846,1.3083,0.0,0.2692,0.0,0.1154,0.2308,0.3846
hle_1219,directllm,HLE,15,reason|reason|reason|reason|IC|reason|reason|RR|UN|RR|RR|IC|UN|reason|UN,reason,0.4667,1.2681,0.0,0.0,0.1333,0.2,0.2,0.4667
hle_1220,directllm,HLE,26,reason|reason|reason|RR|RR|RR|UN|RR|PD|RR|UN|reason|PD|RR|RR|RR|PD|UN|RR|RR|RR|RR|reason|reason|PD|PD,RR,0.4615,1.2615,0.0,0.1923,0.0,0.1154,0.4615,0.2308
hle_123,directllm,HLE,9,reason|reason|reason|RR|RR|reason|reason|RR|RR,reason,0.5556,0.687,0.0,0.0,0.0,0.0,0.4444,0.5556
hle_1231,directllm,HLE,17,reason|UN|reason|RR|UN|RR|reason|RR|RR|UN|RR|IC|reason|RR|reason|reason|UN,reason,0.3529,1.2423,0.0,0.0,0.0588,0.2353,0.3529,0.3529
hle_1234,directllm,HLE,28,reason|PD|reason|RR|UN|IC|RR|reason|UN|UN|UN|reason|RR|IC|UN|RR|RR|reason|RR|RR|RR|reason|RR|reason|reason|reason|reason|reason,reason,0.3929,1.347,0.0,0.0357,0.0714,0.1786,0.3214,0.3929
hle_1235,directllm,HLE,35,reason|reason|RR|reason|reason|reason|IC|IC|RR|reason|reason|RR|reason|RR|RR|reason|RR|reason|RR|reason|RR|RR|reason|RR|RR|reason|RR|reason|RR|RR|IC|RR|RR|RR|reason,RR,0.4857,0.9245,0.0,0.0,0.0857,0.0,0.4857,0.4286
hle_1249,directllm,HLE,36,reason|reason|reason|reason|PD|UN|reason|reason|IC|reason|reason|reason|UN|PD|UN|IC|PD|reason|IC|PD|reason|reason|RR|reason|reason|reason|RR|IC|reason|reason|reason|PD|reason|PD|reason|PD,reason,0.5556,1.2568,0.0,0.1944,0.1111,0.0833,0.0556,0.5556
hle_126,directllm,HLE,14,reason|reason|reason|reason|PD|UN|RR|PD|IC|RR|RR|RR|reason|SE,reason,0.3571,1.5692,0.0714,0.1429,0.0714,0.0714,0.2857,0.3571
hle_13,directllm,HLE,33,reason|reason|PD|reason|reason|reason|PD|UN|PD|RR|RR|PD|reason|RR|RR|UN|reason|reason|reason|reason|reason|reason|PD|IC|PD|reason|PD|reason|reason|reason|reason|reason|reason,reason,0.5758,1.1784,0.0,0.2121,0.0303,0.0606,0.1212,0.5758
hle_131,directllm,HLE,28,reason|RR|RR|RR|IC|IC|RR|reason|RR|reason|RR|RR|IC|reason|RR|reason|RR|reason|RR|reason|reason|IC|IC|RR|reason|reason|RR|PD,RR,0.4286,1.1575,0.0,0.0357,0.1786,0.0,0.4286,0.3571
hle_136,directllm,HLE,59,reason|IC|reason|reason|UN|reason|reason|reason|PD|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|RR|reason|reason|reason|RR|reason|IC|IC|reason|RR|RR|IC|UN|reason|RR|reason|reason|IC|reason|RR|reason|reason|reason|RR|reason|reason|PD|UN|UN|RR|reason|PD|reason|reason|reason|reason|reason,reason,0.661,1.0877,0.0,0.0508,0.0847,0.0678,0.1356,0.661
hle_138,directllm,HLE,56,reason|reason|IC|reason|IC|RR|IC|reason|RR|reason|PD|UN|IC|reason|reason|reason|reason|reason|reason|reason|reason|IC|reason|reason|reason|reason|RR|UN|UN|RR|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|UN|RR|reason|IC|reason|RR|reason|reason|RR|reason|RR,reason,0.6607,1.0515,0.0,0.0179,0.1071,0.0714,0.1429,0.6607
hle_14,directllm,HLE,3,reason|RR|RR,RR,0.6667,0.6365,0.0,0.0,0.0,0.0,0.6667,0.3333
hle_141,directllm,HLE,32,reason|reason|reason|PD|PD|UN|UN|reason|UN|PD|reason|reason|PD|RR|reason|reason|UN|RR|reason|reason|reason|PD|PD|RR|PD|RR|UN|RR|PD|reason|reason|PD,reason,0.4062,1.3028,0.0,0.2812,0.0,0.1562,0.1562,0.4062
hle_142,directllm,HLE,64,reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|UN|reason|reason|reason|IC|reason|reason|reason|UN|IC|RR|IC|reason|reason|reason|reason|reason|RR|reason|reason|reason|reason|reason|reason|reason|RR|reason|RR|reason|PD|reason|reason|reason|IC|IC|RR|reason|RR|reason|IC|RR|PD|reason|reason|RR|PD|IC|RR|reason|reason|reason|reason|PD|reason,reason,0.6562,1.0759,0.0,0.0625,0.1094,0.0312,0.1406,0.6562
hle_144,directllm,HLE,22,PD|PD|RR|PD|RR|RR|RR|RR|reason|RR|RR|RR|PD|PD|RR|RR|RR|RR|PD|PD|reason|PD,RR,0.5455,0.9165,0.0,0.3636,0.0,0.0,0.5455,0.0909
hle_145,directllm,HLE,22,reason|reason|UN|reason|reason|RR|PD|reason|reason|RR|UN|reason|PD|RR|RR|PD|UN|RR|reason|reason|reason|PD,reason,0.4545,1.2768,0.0,0.1818,0.0,0.1364,0.2273,0.4545
hle_155,directllm,HLE,43,PD|RR|reason|reason|reason|RR|UN|RR|RR|RR|IC|PD|UN|UN|RR|IC|reason|UN|reason|RR|PD|RR|RR|UN|IC|RR|IC|IC|reason|UN|RR|UN|IC|RR|reason|RR|UN|UN|IC|IC|RR|reason|PD,RR,0.3256,1.5394,0.0,0.093,0.186,0.2093,0.3256,0.186
hle_158,directllm,HLE,88,reason|IC|reason|reason|RR|reason|reason|RR|reason|RR|PD|RR|IC|UN|IC|RR|RR|RR|UN|IC|reason|reason|RR|reason|RR|reason|IC|RR|RR|RR|PD|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|UN,RR,0.7727,0.8105,0.0,0.0227,0.0568,0.0341,0.7727,0.1136
hle_16,directllm,HLE,77,reason|PD|RR|UN|UN|PD|UN|reason|reason|RR|IC|RR|RR|reason|PD|RR|reason|reason|reason|RR|reason|reason|RR|PD|PD|reason|PD|reason|reason|IC|RR|PD|reason|UN|UN|RR|reason|reason|UN|reason|reason|RR|reason|reason|PD|reason|PD|reason|RR|reason|reason|PD|RR|reason|RR|reason|RR|RR|RR|RR|UN|reason|RR|reason|RR|reason|reason|RR|reason|reason|RR|reason|RR|reason|PD|PD|reason,reason,0.4416,1.3214,0.0,0.1558,0.026,0.0909,0.2857,0.4416
hle_167,directllm,HLE,84,reason|reason|UN|RR|reason|reason|IC|UN|reason|reason|UN|reason|reason|reason|reason|reason|UN|reason|reason|IC|reason|reason|reason|reason|UN|UN|reason|RR|reason|reason|reason|PD|UN|reason|UN|reason|reason|reason|reason|UN|UN|reason|UN|UN|reason|reason|IC|reason|IC|reason|PD|reason|UN|reason|UN|reason|UN|UN|UN|reason|reason|reason|reason|UN|UN|reason|reason|reason|reason|reason|IC|reason|reason|reason|UN|reason|IC|reason|reason|reason|PD|reason|reason|reason,reason,0.631,1.0288,0.0,0.0357,0.0714,0.2381,0.0238,0.631
hle_169,directllm,HLE,29,PD|reason|UN|reason|reason|UN|reason|UN|UN|UN|reason|UN|UN|UN|reason|RR|UN|IC|RR|UN|IC|RR|reason|IC|reason|reason|IC|reason|reason,reason,0.3793,1.3589,0.0,0.0345,0.1379,0.3448,0.1034,0.3793
hle_176,directllm,HLE,36,PD|reason|RR|PD|reason|PD|PD|reason|reason|UN|reason|reason|PD|RR|IC|reason|reason|RR|PD|PD|PD|PD|RR|reason|UN|UN|reason|reason|reason|reason|reason|PD|PD|reason|PD|PD,reason,0.4167,1.2833,0.0,0.3611,0.0278,0.0833,0.1111,0.4167
hle_178,directllm,HLE,29,reason|UN|reason|reason|reason|UN|RR|UN|RR|RR|PD|IC|reason|UN|RR|UN|UN|RR|UN|RR|RR|RR|RR|UN|RR|RR|UN|reason|UN,RR,0.3793,1.293,0.0,0.0345,0.0345,0.3448,0.3793,0.2069
hle_179,directllm,HLE,22,reason|reason|reason|reason|reason|IC|RR|RR|IC|RR|reason|UN|RR|RR|RR|reason|RR|RR|RR|reason|PD|reason,reason,0.4091,1.2303,0.0,0.0455,0.0909,0.0455,0.4091,0.4091
hle_184,directllm,HLE,16,reason|reason|reason|RR|RR|IC|UN|reason|reason|UN|RR|reason|UN|RR|reason|UN,reason,0.4375,1.2281,0.0,0.0,0.0625,0.25,0.25,0.4375
hle_185,directllm,HLE,39,reason|reason|PD|RR|UN|UN|reason|PD|RR|UN|RR|RR|RR|IC|reason|RR|RR|IC|reason|UN|RR|UN|RR|RR|reason|RR|RR|RR|UN|reason|reason|RR|RR|RR|RR|RR|reason|PD|PD,RR,0.4615,1.3691,0.0,0.1026,0.0513,0.1538,0.4615,0.2308
hle_187,directllm,HLE,40,reason|IC|reason|PD|PD|RR|reason|reason|reason|PD|IC|reason|PD|PD|reason|reason|reason|RR|reason|reason|IC|reason|PD|reason|reason|reason|reason|PD|IC|reason|reason|reason|reason|reason|RR|reason|PD|reason|PD|IC,reason,0.575,1.108,0.0,0.225,0.125,0.0,0.075,0.575
hle_189,directllm,HLE,39,reason|reason|reason|reason|reason|IC|IC|reason|UN|reason|reason|IC|IC|PD|RR|reason|reason|reason|reason|reason|RR|IC|reason|PD|reason|reason|reason|reason|reason|RR|reason|reason|IC|reason|IC|reason|reason|PD|reason,reason,0.641,1.0819,0.0,0.0769,0.1795,0.0256,0.0769,0.641
hle_191,directllm,HLE,17,reason|reason|reason|reason|RR|reason|reason|UN|reason|reason|reason|reason|reason|reason|reason|reason|reason,reason,0.8824,0.4438,0.0,0.0,0.0,0.0588,0.0588,0.8824
hle_193,directllm,HLE,42,reason|reason|reason|IC|reason|PD|UN|reason|reason|reason|reason|reason|UN|RR|reason|UN|RR|UN|reason|reason|RR|UN|IC|RR|reason|RR|reason|RR|reason|RR|reason|RR|UN|IC|reason|RR|RR|UN|reason|reason|IC|PD,reason,0.4524,1.3681,0.0,0.0476,0.0952,0.1667,0.2381,0.4524
hle_210,directllm,HLE,61,PD|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|IC|reason|IC|RR|PD|RR|reason|reason|reason|RR|reason|UN|UN|UN|PD|RR|reason|reason|reason|reason|reason|RR|RR|PD|IC|reason|IC|RR|UN|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|PD|reason,reason,0.6721,1.0778,0.0,0.082,0.0656,0.0656,0.1148,0.6721
hle_212,directllm,HLE,291,reason|RR|RR|RR|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason,reason,0.9897,0.0574,0.0,0.0,0.0,0.0,0.0103,0.9897
hle_218,directllm,HLE,46,reason|reason|UN|UN|RR|UN|UN|RR|PD|UN|RR|UN|RR|PD|RR|UN|reason|UN|reason|UN|RR|reason|reason|PD|RR|RR|reason|RR|UN|reason|RR|UN|RR|reason|RR|UN|RR|PD|RR|RR|PD|reason|PD|PD|reason|reason,RR,0.3261,1.353,0.0,0.1522,0.0,0.2609,0.3261,0.2609
hle_236,directllm,HLE,35,reason|RR|RR|RR|reason|PD|IC|reason|reason|RR|reason|reason|RR|reason|RR|reason|UN|reason|RR|reason|UN|reason|RR|reason|RR|UN|UN|RR|RR|reason|UN|RR|reason|PD|reason,reason,0.4286,1.2733,0.0,0.0571,0.0286,0.1429,0.3429,0.4286
hle_241,directllm,HLE,18,reason|reason|reason|reason|RR|RR|RR|IC|RR|RR|IC|PD|UN|reason|reason|PD|reason|reason,reason,0.4444,1.3651,0.0,0.1111,0.1111,0.0556,0.2778,0.4444
hle_242,directllm,HLE,41,PD|reason|reason|UN|reason|UN|UN|reason|RR|UN|UN|RR|UN|PD|reason|UN|RR|UN|RR|PD|UN|UN|UN|UN|IC|UN|UN|UN|UN|RR|IC|UN|UN|UN|PD|reason|PD|reason|reason|reason|reason,UN,0.4634,1.3611,0.0,0.122,0.0488,0.4634,0.122,0.2439
hle_243,directllm,HLE,15,reason|reason|reason|reason|PD|reason|reason|reason|RR|reason|RR|RR|RR|RR|RR,reason,0.5333,0.8823,0.0,0.0667,0.0,0.0,0.4,0.5333
hle_251,directllm,HLE,30,UN|reason|reason|reason|PD|PD|PD|IC|reason|PD|RR|PD|reason|IC|reason|PD|reason|RR|PD|reason|reason|reason|RR|reason|IC|reason|reason|reason|IC|PD,reason,0.4667,1.3204,0.0,0.2667,0.1333,0.0333,0.1,0.4667
hle_262,directllm,HLE,30,reason|reason|reason|IC|RR|reason|PD|reason|PD|reason|reason|reason|IC|IC|RR|reason|RR|reason|UN|RR|reason|reason|IC|reason|reason|reason|IC|reason|PD|reason,reason,0.5667,1.2328,0.0,0.1,0.1667,0.0333,0.1333,0.5667
hle_267,directllm,HLE,43,reason|reason|UN|PD|reason|IC|IC|reason|reason|RR|IC|reason|RR|reason|IC|reason|PD|IC|IC|reason|PD|PD|RR|reason|PD|reason|PD|RR|IC|reason|reason|RR|UN|reason|reason|reason|RR|RR|reason|UN|reason|PD|reason,reason,0.4419,1.4332,0.0,0.1628,0.1628,0.0698,0.1628,0.4419
hle_27,directllm,HLE,23,reason|reason|reason|PD|reason|reason|reason|IC|reason|reason|RR|IC|reason|reason|IC|IC|reason|reason|IC|RR|reason|PD|PD,reason,0.5652,1.1323,0.0,0.1304,0.2174,0.0,0.087,0.5652
hle_272,directllm,HLE,23,PD|reason|RR|RR|reason|RR|RR|reason|PD|RR|UN|reason|RR|reason|RR|reason|RR|reason|reason|reason|reason|reason|PD,reason,0.4783,1.1221,0.0,0.1304,0.0,0.0435,0.3478,0.4783
hle_278,directllm,HLE,9,reason|reason|UN|reason|RR|UN|UN|UN|UN,UN,0.5556,0.9369,0.0,0.0,0.0,0.5556,0.1111,0.3333
hle_280,directllm,HLE,25,reason|IC|UN|PD|UN|IC|PD|UN|reason|reason|RR|reason|reason|reason|IC|UN|IC|PD|PD|RR|PD|reason|reason|reason|PD,reason,0.36,1.4988,0.0,0.24,0.16,0.16,0.08,0.36
hle_283,directllm,HLE,39,reason|reason|reason|reason|UN|PD|PD|PD|PD|PD|IC|RR|UN|UN|PD|IC|reason|reason|PD|reason|reason|RR|UN|RR|reason|RR|reason|reason|RR|IC|RR|reason|reason|RR|reason|reason|reason|PD|reason,reason,0.4359,1.4261,0.0,0.2051,0.0769,0.1026,0.1795,0.4359
hle_288,directllm,HLE,5,reason|reason|UN|PD|reason,reason,0.6,0.9503,0.0,0.2,0.0,0.2,0.0,0.6
hle_293,directllm,HLE,34,reason|reason|reason|reason|reason|reason|IC|reason|IC|IC|UN|IC|UN|IC|UN|IC|reason|IC|reason|UN|reason|IC|UN|IC|RR|IC|UN|UN|IC|reason|reason|PD|PD|IC,reason,0.3529,1.3309,0.0,0.0588,0.3529,0.2059,0.0294,0.3529
hle_294,directllm,HLE,29,reason|UN|reason|UN|reason|reason|reason|reason|reason|UN|RR|reason|reason|RR|UN|IC|UN|UN|UN|RR|UN|RR|reason|UN|reason|reason|UN|reason|UN,reason,0.4483,1.1167,0.0,0.0,0.0345,0.3793,0.1379,0.4483
hle_302,directllm,HLE,20,reason|reason|UN|RR|RR|UN|reason|IC|PD|UN|RR|reason|RR|RR|UN|RR|reason|reason|reason|reason,reason,0.4,1.3492,0.0,0.05,0.05,0.2,0.3,0.4
hle_309,directllm,HLE,21,reason|RR|PD|UN|reason|UN|IC|UN|UN|UN|RR|RR|UN|reason|UN|RR|RR|IC|RR|reason|reason,UN,0.3333,1.4347,0.0,0.0476,0.0952,0.3333,0.2857,0.2381
hle_32,directllm,HLE,74,reason|reason|reason|reason|reason|IC|reason|PD|reason|PD|reason|reason|PD|UN|IC|PD|reason|reason|reason|reason|reason|RR|RR|IC|RR|IC|IC|PD|reason|reason|reason|reason|reason|RR|RR|RR|IC|reason|PD|reason|reason|reason|reason|reason|RR|RR|UN|IC|reason|PD|reason|reason|reason|reason|IC|UN|IC|IC|UN|reason|RR|UN|RR|RR|RR|IC|RR|RR|RR|reason|reason|reason|reason|reason,reason,0.4865,1.3625,0.0,0.0946,0.1486,0.0676,0.2027,0.4865
hle_328,directllm,HLE,76,reason|reason|reason|reason|PD|reason|RR|reason|IC|reason|reason|PD|reason|RR|reason|RR|PD|RR|RR|PD|RR|RR|reason|UN|IC|UN|RR|UN|UN|UN|UN|PD|RR|reason|UN|RR|reason|UN|UN|UN|RR|UN|reason|UN|UN|PD|UN|UN|RR|UN|UN|UN|IC|UN|RR|IC|IC|IC|IC|UN|RR|IC|UN|RR|IC|IC|IC|RR|PD|IC|reason|reason|reason|reason|reason|reason,UN,0.2763,1.5458,0.0,0.0921,0.1579,0.2763,0.2105,0.2632
hle_329,directllm,HLE,48,reason|reason|reason|RR|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|RR|reason|PD|reason|reason|reason|reason|RR|RR|UN|RR|UN|reason|IC|UN|UN|RR|UN|reason|reason|reason|UN|UN|UN|UN|reason|reason|reason|reason|reason|PD|PD|reason,reason,0.6042,1.1322,0.0,0.0625,0.0208,0.1875,0.125,0.6042
hle_330,directllm,HLE,21,reason|RR|UN|RR|reason|reason|UN|reason|reason|UN|reason|reason|reason|reason|reason|reason|reason|PD|PD|reason|reason,reason,0.6667,0.9962,0.0,0.0952,0.0,0.1429,0.0952,0.6667
hle_331,directllm,HLE,59,reason|reason|IC|reason|RR|reason|reason|RR|reason|reason|RR|PD|UN|RR|RR|IC|PD|UN|reason|IC|reason|PD|UN|UN|IC|RR|reason|reason|IC|reason|RR|reason|reason|reason|reason|IC|RR|reason|IC|RR|IC|reason|PD|RR|reason|PD|IC|IC|reason|RR|PD|RR|IC|reason|RR|RR|RR|RR|reason,reason,0.3729,1.4498,0.0,0.1017,0.1864,0.0678,0.2712,0.3729
hle_335,directllm,HLE,28,PD|UN|reason|RR|IC|RR|reason|UN|RR|reason|RR|IC|RR|reason|RR|PD|IC|IC|UN|reason|reason|reason|reason|reason|reason|PD|PD|reason,reason,0.3929,1.4924,0.0,0.1429,0.1429,0.1071,0.2143,0.3929
hle_337,directllm,HLE,91,reason|PD|PD|PD|UN|IC|RR|reason|IC|PD|UN|UN|IC|PD|PD|UN|PD|PD|UN|UN|IC|reason|UN|PD|reason|IC|reason|UN|PD|reason|reason|UN|reason|reason|PD|PD|UN|UN|UN|PD|UN|IC|IC|IC|IC|PD|RR|IC|reason|IC|UN|reason|IC|reason|UN|PD|IC|reason|IC|reason|UN|IC|reason|UN|PD|RR|UN|PD|reason|PD|RR|UN|reason|IC|reason|RR|PD|reason|IC|RR|reason|reason|reason|PD|RR|reason|PD|IC|PD|reason|PD,reason,0.2637,1.544,0.0,0.2527,0.1978,0.2088,0.0769,0.2637
hle_338,directllm,HLE,33,reason|reason|PD|reason|reason|UN|reason|UN|reason|reason|PD|RR|reason|RR|reason|RR|reason|reason|RR|PD|RR|reason|RR|RR|reason|RR|reason|RR|reason|IC|reason|PD|PD,reason,0.4848,1.2671,0.0,0.1515,0.0303,0.0606,0.2727,0.4848
hle_341,directllm,HLE,2,reason|RR,reason,0.5,0.6931,0.0,0.0,0.0,0.0,0.5,0.5
hle_344,directllm,HLE,21,reason|reason|UN|RR|RR|RR|UN|RR|RR|reason|UN|RR|UN|RR|RR|RR|RR|reason|reason|PD|PD,RR,0.4762,1.2348,0.0,0.0952,0.0,0.1905,0.4762,0.2381
hle_346,directllm,HLE,20,reason|PD|reason|RR|RR|reason|PD|RR|reason|reason|reason|PD|RR|IC|reason|RR|reason|PD|reason|PD,reason,0.45,1.2023,0.0,0.25,0.05,0.0,0.25,0.45
hle_35,directllm,HLE,35,reason|UN|reason|PD|reason|reason|reason|reason|IC|PD|reason|reason|reason|reason|reason|RR|reason|reason|PD|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason|reason,reason,0.8286,0.6711,0.0,0.0857,0.0286,0.0286,0.0286,0.8286
hle_350,directllm,HLE,145,reason|reason|reason|UN|RR|RR|RR|RR|RR|IC|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR,RR,0.9655,0.1828,0.0,0.0,0.0069,0.0069,0.9655,0.0207
hle_351,directllm,HLE,27,PD|IC|PD|reason|PD|reason|reason|UN|RR|IC|reason|reason|IC|RR|UN|IC|reason|SE|IC|RR|reason|reason|PD|reason|reason|PD|IC,reason,0.3704,1.5734,0.037,0.1852,0.2222,0.0741,0.1111,0.3704
hle_354,directllm,HLE,34,reason|reason|PD|reason|PD|PD|RR|reason|UN|RR|UN|UN|IC|IC|UN|reason|UN|reason|RR|reason|reason|reason|RR|UN|reason|RR|reason|reason|RR|RR|reason|PD|PD|reason,reason,0.4118,1.4454,0.0,0.1471,0.0588,0.1765,0.2059,0.4118
hle_358,directllm,HLE,19,reason|reason|RR|RR|IC|RR|RR|IC|IC|reason|RR|RR|RR|reason|reason|reason|UN|reason|reason,reason,0.4211,1.1785,0.0,0.0,0.1579,0.0526,0.3684,0.4211
hle_366,directllm,HLE,310,reason|reason|reason|reason|PD|RR|reason|reason|RR|reason|reason|reason|PD|reason|reason|PD|reason|reason|reason|reason|reason|reason|reason|RR|reason|reason|reason|reason|reason|reason|reason|PD|reason|reason|reason|PD|reason|reason|reason|reason|reason|reason|reason|reason|RR|reason|IC|reason|reason|reason|reason|UN|reason|reason|reason|reason|reason|reason|reason|RR|RR|PD|reason|reason|reason|PD|RR|reason|reason|RR|reason|reason|reason|reason|reason|UN|RR|RR|RR|RR|RR|reason|reason|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR|RR,RR,0.7742,0.6526,0.0,0.0226,0.0032,0.0065,0.7742,0.1935
hle_368,directllm,HLE,51,reason|reason|RR|reason|reason|reason|reason|reason|reason|reason|UN|reason|RR|reason|PD|reason|reason|IC|reason|reason|reason|reason|RR|reason|RR|PD|IC|reason|reason|reason|reason|reason|reason|RR|reason|reason|reason|reason|reason|reason|IC|RR|reason|UN|reason|reason|reason|reason|IC|reason|reason,reason,0.7255,0.9383,0.0,0.0392,0.0784,0.0392,0.1176,0.7255
hle_37,directllm,HLE,36,reason|reason|reason|reason|UN|IC|reason|RR|IC|reason|IC|UN|RR|RR|IC|RR|reason|UN|RR|RR|RR|UN|RR|IC|RR|IC|reason|RR|IC|reason|UN|reason|RR|IC|reason|PD,reason,0.3056,1.4325,0.0,0.0278,0.2222,0.1389,0.3056,0.3056
